题号,一级维度,主子维度,题目,量表,子维度_1,权重_1,计分方向_1,子维度_2,权重_2,计分方向_2,子维度_3,权重_3,计分方向_3
1,威胁感知,社会风险感,AI 的广泛应用可能扩大不同群体之间的机会差距。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,社会风险感,1.0,正向,,,,,,
2,威胁感知,社会风险感,我担心 AI 被用于虚假信息、诈骗或操纵舆论。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,社会风险感,1.0,正向,,,,,,
3,威胁感知,社会风险感,如果缺少有效约束，AI 可能加剧权力集中或社会监控。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,社会风险感,1.0,正向,,,,,,
4,威胁感知,社会风险感,AI 对社会造成严重负面后果的可能性被很多人低估了。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,社会风险感,1.0,正向,,,,,,
5,威胁感知,社会风险感,AI 大规模进入教育、医疗、金融等领域可能带来系统性风险。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,社会风险感,1.0,正向,,,,,,
6,威胁感知,社会风险感,AI 引发的社会风险总体上被夸大了。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,社会风险感,1.0,反向,,,,,,
7,威胁感知,个人替代威胁感,AI 可能削弱我所在职业、专业或技能的市场价值。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,个人替代威胁感,1.0,正向,,,,,,
8,威胁感知,个人替代威胁感,我担心自己的一些核心能力会被 AI 替代或贬值。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,个人替代威胁感,1.0,正向,,,,,,
9,威胁感知,个人替代威胁感,在未来竞争中，不会使用 AI 的人很容易被边缘化。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,个人替代威胁感,1.0,正向,,,,,,
10,威胁感知,个人替代威胁感,我担心 AI 让我的职业发展路径变得更不确定。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,个人替代威胁感,1.0,正向,,,,,,
11,威胁感知,个人替代威胁感,即使 AI 很先进，我也不认为它会威胁到我的个人职业价值。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,个人替代威胁感,1.0,反向,,,,,,
12,威胁感知,个人替代威胁感,AI 可能迫使我不断更新技能，否则会失去竞争力。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,个人替代威胁感,1.0,正向,,,,,,
13,技术信任度,准确性信任,对于我熟悉的领域，AI 的回答通常值得作为参考。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,准确性信任,0.8,正向,采用意愿,0.2,正向,,,
14,技术信任度,准确性信任,当 AI 给出解释、依据或来源时，我更愿意相信它的结论。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,准确性信任,0.7,正向,透明度,0.3,正向,,,
15,技术信任度,准确性信任,在复杂问题上，AI 经常会给出看似合理但实际错误的答案。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,准确性信任,1.0,反向,,,,,,
16,技术信任度,准确性信任,我相信 AI 能在大量信息中识别出有价值的模式。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,准确性信任,1.0,正向,,,,,,
17,技术信任度,准确性信任,只要提示足够清楚，AI 通常能准确理解我的需求。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,准确性信任,1.0,正向,,,,,,
18,技术信任度,准确性信任,涉及事实、数字或专业判断时，我通常必须重新核查 AI 的输出。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,准确性信任,1.0,反向,,,,,,
19,技术信任度,公平性信任,我相信经过良好设计的 AI 可以比人类更少受主观偏见影响。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,公平性信任,1.0,正向,,,,,,
20,技术信任度,公平性信任,AI 系统做出的判断往往会延续训练数据中的偏见。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,公平性信任,1.0,反向,,,,,,
21,技术信任度,公平性信任,我相信 AI 在招聘、信贷、教育等场景中可以被设计得相对公平。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,公平性信任,1.0,正向,,,,,,
22,技术信任度,公平性信任,我担心 AI 会对弱势群体产生不易察觉的不公平影响。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,公平性信任,0.7,反向,偏见,0.3,正向,,,
23,技术信任度,公平性信任,如果 AI 的评估标准公开透明，我会更信任其公平性。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,公平性信任,0.8,正向,透明度,0.2,正向,,,
24,技术信任度,公平性信任,与人类判断相比，AI 的决策不一定更公平。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,公平性信任,1.0,反向,,,,,,
25,技术信任度,稳定性信任,我认为可靠的 AI 系统可以在不同时间保持相对稳定的表现。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,稳定性信任,1.0,正向,,,,,,
26,技术信任度,稳定性信任,AI 的表现太依赖具体提示和场景，因此很难稳定信赖。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,稳定性信任,1.0,反向,,,,,,
27,技术信任度,稳定性信任,在高频、大规模任务中，AI 通常比人类更能保持一致性。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,稳定性信任,1.0,正向,,,,,,
28,技术信任度,稳定性信任,我担心同一个问题问 AI 多次会得到差异很大的答案。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,稳定性信任,1.0,反向,,,,,,
29,技术信任度,稳定性信任,如果经过充分测试，我相信 AI 可以稳定地完成重复性任务。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,稳定性信任,1.0,正向,,,,,,
30,控制与治理偏好,AI自主性接受,我可以接受 AI 在低风险任务中自动做出决定。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,AI自主性接受,1.0,正向,,,,,,
31,控制与治理偏好,AI自主性接受,在医疗、司法、金融等高风险场景中，AI 不应独立做最终决定。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,AI自主性接受,0.8,反向,监管强度偏好,0.2,正向,,,
32,控制与治理偏好,AI自主性接受,只要系统经过验证，AI 可以在某些专业领域拥有较高自主权。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,AI自主性接受,1.0,正向,,,,,,
33,控制与治理偏好,AI自主性接受,我愿意让 AI 自动安排、筛选或优化我的日常事务。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,AI自主性接受,1.0,正向,,,,,,
34,控制与治理偏好,AI自主性接受,对重要决策而言，人类应该始终保留最终决定权。,1=完全不同意；2=不同意；3=比较不同意；4=不确定/一般；5=比较同意；6=同意；7=完全同意,AI自主性接受,1.0,反向,,,,,,
